"record_type","doc__type","doc__type_description","class_code_description","party1_type","party2_type","party3_type"
"D",,,"OTHER DOCUMENTS","PARTY 1/GRANTOR","PARTY 2/GRANTEE",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGER/BORROWER","MORTGAGEE/LENDER",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGER/BORROWER","MORTGAGEE/LENDER",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGER/BORROWER","MORTGAGEE/LENDER",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGER/BORROWER","MORTGAGEE/LENDER",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGER/BORROWER","MORTGAGEE/LENDER",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGER/BORROWER","MORTGAGEE/LENDER",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGER/BORROWER","MORTGAGEE/LENDER",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGER/BORROWER","MORTGAGEE/LENDER",
"D",,,"DEEDS AND OTHER CONVEYANCES","LESSOR/LANDLORD","LESSEE/TENANT",
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY 1",,
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY 1",,
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY 1",,
"D",,,"MORTGAGES & INSTRUMENTS","PAYER","PARTY TWO",
"D",,,"OTHER DOCUMENTS","LESSOR","LESSEE",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"UCC AND FEDERAL LIENS","DEBTOR","SECURED PARTY",
"D",,,"OTHER DOCUMENTS","PARTY ONE",,
"D",,,"OTHER DOCUMENTS","PARTY ONE",,
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER","LIFE ESTATE RETAINED"
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR/SELLER","GRANTEE/BUYER","LIFE ESTATE RETAINED"
"D",,,"OTHER DOCUMENTS","DEBTOR","SECURED PARTY",
"D",,,"OTHER DOCUMENTS","PARTY 1",,
"D",,,"OTHER DOCUMENTS","PARTY 1",,
"D",,,"OTHER DOCUMENTS","PARTY 1",,
"D",,,"DEEDS AND OTHER CONVEYANCES","TRANSFEROR","DESGNTD BENEFICIARY",
"D",,,"DEEDS AND OTHER CONVEYANCES","TRANSFEROR","DESGNTD BENEFICIARY",
"D",,,"MORTGAGES & INSTRUMENTS","PARTY ONE","PARTY TWO",
"D",,,"MORTGAGES & INSTRUMENTS","PARTY ONE","PARTY TWO",
"D",,,"OTHER DOCUMENTS","PARTY ONE/DEBTOR","PARTY TWO/SECURED PA",
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY ONE","PARTY TWO",
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY ONE","PARTY TWO",
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY ONE","PARTY TWO",
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY ONE","PARTY TWO",
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY ONE","PARTY TWO",
"D",,,"DEEDS AND OTHER CONVEYANCES","LESSOR","LESSEE",
"D",,,"MORTGAGES & INSTRUMENTS","ASSIGNOR/OLD LENDER","ASSIGNEE/NEW LENDER",
"D",,,"UCC AND FEDERAL LIENS","PARTY ONE","IRS",
"D",,,"OTHER DOCUMENTS","SECURED PARTY",,
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY 1","PARTY 2",
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY 1","PARTY 2",
"D",,,"DEEDS AND OTHER CONVEYANCES","PARTY 1","PARTY 2",
"D",,,"OTHER DOCUMENTS","MORTGAGOR","NYC",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR","GRANTEE",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR","GRANTEE",
"D",,,"DEEDS AND OTHER CONVEYANCES","GRANTOR","GRANTEE",
"D",,,"UCC AND FEDERAL LIENS","PARTY ONE","PARTY TWO",
"D",,,"UCC AND FEDERAL LIENS","PARTY ONE","PARTY TWO",
"D",,,"UCC AND FEDERAL LIENS","PARTY ONE","PARTY TWO",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGOR","MORTGAGEE",
"D",,,"MORTGAGES & INSTRUMENTS","MORTGAGOR","MORTGAGEE",
