activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2020,5493000NYUJT9UC6G261,33124,FL,12086,12086010208,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,1,71,2,2,1,1,2,2,2,355000.0,96.5,2.5,0.8,2,12606.82,NA,2969.33,,,360,NA,NA,2,2,2,2,365000,1,1,3,5,1,NA,70,41,1,10,1,13,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,1,,,,,10,,,,5010,94.29,59100,61.32,511,775,35
2020,549300XQ7B5FIVUNFE29,33124,FL,12086,12086015200,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,9,2,2,1,1,2,2,2,385000.0,95.833,3.5,0.808,2,9778.62,NA,0.0,,346.0,360,NA,NA,2,2,2,2,395000,1,1,3,5,1,NA,38,49,7,7,1,14,,,,1,14,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,25-34,Yes,No,1,1,1,1,1,1,1,10,,,,7217,94.07,59100,182.89,1695,1975,14
2020,549300XQ7B5FIVUNFE29,33124,FL,12086,12086019500,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,9,2,2,1,1,2,2,2,315000.0,95.0,3.125,0.705,2,13420.6,NA,4083.28,2693.28,,360,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,120,20%-<30%,7,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,1,1,1,1,10,,,,6719,74.27,59100,134.01,1815,2260,22
2020,549300XQ7B5FIVUNFE29,33124,FL,12086,12086018400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,9,2,2,1,1,2,2,2,245000.0,96.5,4.0,1.777,2,12602.17,NA,4669.49,3279.49,,360,NA,NA,2,2,2,2,255000,1,1,3,5,1,NA,86,50%-60%,7,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,1,1,1,1,1,10,,,,3954,89.33,59100,93.49,508,717,30
2020,549300XQ7B5FIVUNFE29,33124,FL,12086,12086010011,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,9,2,2,1,1,2,2,2,265000.0,96.5,3.625,0.931,2,7204.44,NA,0.0,665.86,,360,NA,NA,2,2,2,2,265000,1,1,3,5,1,NA,60,50%-60%,7,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,1,1,1,1,10,,,,6230,99.79,59100,54.52,659,1130,34
2020,549300XQ7B5FIVUNFE29,33124,FL,12086,12086003912,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,9,2,2,1,1,2,2,2,265000.0,105.0,3.375,0.582,2,14768.52,NA,6074.74,4684.74,,360,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,70,48,7,7,1,14,,,,1,14,,,,2,2,5,,,,,5,,,,,2,2,1,2,1,1,45-54,35-44,No,No,1,1,1,1,1,1,1,10,,,,4614,80.32,59100,113.84,612,1521,60
2020,549300XQ7B5FIVUNFE29,33124,FL,12086,12086000501,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,9,2,2,1,1,2,2,2,315000.0,96.5,2.875,0.751,2,11417.09,NA,NA,896.71,,360,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,74,30%-<36%,7,10,1,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,35-44,9999,No,NA,1,1,1,1,1,1,1,10,,,,8217,93.06,59100,67.54,1097,1673,51
2020,549300XQ7B5FIVUNFE29,33124,FL,12086,12086015100,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Male,1,9,2,2,1,1,2,2,2,325000.0,96.5,3.125,1.009,2,13758.21,NA,NA,2660.22,,360,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,59,44,7,7,1,,,,,2,,,,,1,2,5,,,,,5,,,,,1,2,1,1,1,2,25-34,65-74,No,Yes,1,1,1,1,1,1,1,10,,,,13175,93.82,59100,162.64,2442,2867,11
2020,549300XQ7B5FIVUNFE29,33124,FL,12086,12086020000,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,9,2,2,1,1,2,2,2,325000.0,96.5,3.125,0.993,2,11095.41,NA,1607.1,217.1,,360,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,68,50%-60%,7,10,1,13,,,,1,,,,,3,3,5,,,,,5,,,,,3,3,1,2,3,3,55-64,45-54,No,No,1,1,1,1,1,1,1,10,,,,7009,84.96,59100,136.36,1774,2068,22
2020,549300XQ7B5FIVUNFE29,33124,FL,12086,12086010617,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,1,9,2,2,1,1,2,2,2,305000.0,95.0,3.0,0.805,2,9990.86,NA,752.8,,,360,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,60,47,7,10,1,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,1,1,1,1,1,10,,,,6082,79.68,59100,106.33,822,987,11
